frame,timestamp_sec,class,confidence,x1,y1,x2,y2
9,0.30,boneka-dummy,0.6674,0,0,537,1079
40,1.34,boneka-dummy,0.6314,0,0,536,578
68,2.27,boneka-dummy,0.5330,0,0,424,867
69,2.30,boneka-dummy,0.5426,0,0,465,857
70,2.34,boneka-asli,0.6053,1739,330,1919,1035
71,2.37,boneka-dummy,0.6754,1,0,550,833
90,3.00,boneka-asli,0.6338,13,75,213,251
90,3.00,boneka-dummy,0.5531,1509,0,1920,183
91,3.04,boneka-asli,0.6591,55,69,262,243
91,3.04,boneka-dummy,0.5464,1550,0,1919,183
92,3.07,boneka-asli,0.6699,98,62,306,243
93,3.11,boneka-asli,0.6685,147,60,342,229
94,3.14,boneka-dummy,0.5491,17,208,386,482
95,3.17,boneka-asli,0.6745,238,44,434,213
96,3.21,boneka-asli,0.5795,297,40,484,198
97,3.24,boneka-asli,0.6176,345,22,529,192
97,3.24,boneka-asli,0.5164,914,0,1622,638
98,3.27,boneka-asli,0.6604,401,13,580,166
99,3.31,boneka-asli,0.6763,461,5,627,165
101,3.37,boneka-dummy,0.6162,1419,803,1919,1080
101,3.37,boneka-asli,0.5378,138,391,364,564
102,3.41,boneka-dummy,0.5835,1481,816,1918,1080
102,3.41,boneka-dummy,0.5357,1114,964,1498,1080
103,3.44,boneka-dummy,0.5929,1507,805,1918,1077
103,3.44,boneka-asli,0.5192,261,356,452,529
104,3.47,boneka-dummy,0.6212,1573,794,1916,1071
105,3.51,boneka-dummy,0.6071,1617,793,1920,1070
105,3.51,boneka-dummy,0.6062,1242,923,1627,1074
113,3.77,boneka-asli,0.6584,1609,0,1918,520
114,3.81,boneka-asli,0.7229,1661,0,1919,506
115,3.84,boneka-asli,0.6750,1710,0,1919,503
115,3.84,boneka-dummy,0.5091,0,12,321,199
116,3.87,boneka-dummy,0.7377,0,6,375,195
116,3.87,boneka-asli,0.6385,1756,0,1919,513
116,3.87,boneka-asli,0.5153,920,194,1107,362
117,3.91,boneka-dummy,0.8383,2,2,411,184
117,3.91,boneka-dummy,0.6353,1235,0,1501,157
117,3.91,boneka-asli,0.6093,978,183,1165,349
117,3.91,boneka-asli,0.5615,0,640,648,1080
117,3.91,boneka-dummy,0.5113,343,795,1072,1080
118,3.94,boneka-dummy,0.8235,2,0,461,180
119,3.97,boneka-dummy,0.7908,39,0,519,168
120,4.01,boneka-dummy,0.7958,80,0,564,162
120,4.01,boneka-asli,0.6427,1,604,718,1080
120,4.01,boneka-asli,0.6144,1150,156,1342,318
121,4.04,boneka-dummy,0.7734,144,0,614,156
121,4.04,boneka-asli,0.5662,0,596,693,1080
122,4.07,boneka-dummy,0.7476,211,0,659,153
122,4.07,boneka-asli,0.6924,1268,147,1453,308
122,4.07,boneka-asli,0.5864,0,597,717,1074
123,4.11,boneka-dummy,0.7590,257,0,699,150
124,4.14,boneka-dummy,0.7627,309,0,740,142
125,4.17,boneka-dummy,0.7443,360,0,783,139
125,4.17,boneka-asli,0.5277,100,603,822,1080
126,4.21,boneka-dummy,0.7400,410,0,823,136
126,4.21,boneka-asli,0.6350,1498,129,1709,297
127,4.24,boneka-dummy,0.7551,459,0,866,135
127,4.24,boneka-asli,0.6530,244,578,863,1080
127,4.24,boneka-asli,0.5470,1560,120,1769,297
128,4.27,boneka-asli,0.7902,0,249,162,821
128,4.27,boneka-dummy,0.7515,503,0,916,134
128,4.27,boneka-asli,0.7009,1610,118,1852,296
129,4.31,boneka-dummy,0.7404,549,0,957,133
129,4.31,boneka-asli,0.6657,0,245,180,803
129,4.31,boneka-asli,0.6218,406,583,985,1080
129,4.31,boneka-asli,0.6177,1679,118,1911,297
129,4.31,boneka-asli,0.5158,792,690,1341,1080
130,4.34,boneka-dummy,0.7381,592,0,1007,129
130,4.34,boneka-dummy,0.6535,0,229,235,820
131,4.37,boneka-dummy,0.6957,636,1,1051,123
131,4.37,boneka-dummy,0.6043,0,222,293,783
