frame,timestamp_sec,track_id,class,confidence,x1,y1,x2,y2
91,3.04,5,boneka-asli,0.6507,50,70,248,245
92,3.07,5,boneka-asli,0.6507,69,67,270,244
93,3.11,5,boneka-asli,0.6507,104,63,302,238
95,3.17,5,boneka-asli,0.6507,169,54,365,226
96,3.21,5,boneka-asli,0.6507,231,47,421,214
97,3.24,5,boneka-asli,0.6507,285,36,475,203
98,3.27,5,boneka-asli,0.6507,341,25,525,188
99,3.31,5,boneka-asli,0.6507,396,15,577,176
116,3.87,15,boneka-dummy,0.7452,20,7,344,196
117,3.91,15,boneka-dummy,0.7452,31,5,352,191
118,3.94,15,boneka-dummy,0.7452,50,3,369,186
119,3.97,15,boneka-dummy,0.7452,83,1,396,178
120,4.01,15,boneka-dummy,0.7452,124,0,431,170
121,4.04,15,boneka-dummy,0.7452,172,0,475,163
121,4.04,21,boneka-asli,0.5868,0,597,712,1080
122,4.07,15,boneka-dummy,0.7452,224,0,526,157
122,4.07,21,boneka-asli,0.5868,0,597,715,1077
123,4.11,15,boneka-dummy,0.7452,273,0,576,153
124,4.14,15,boneka-dummy,0.7452,323,0,624,147
125,4.17,15,boneka-dummy,0.7452,371,0,672,143
125,4.17,21,boneka-asli,0.5868,48,600,764,1078
126,4.21,15,boneka-dummy,0.7452,417,0,719,139
127,4.24,15,boneka-dummy,0.7452,463,0,767,136
127,4.24,21,boneka-asli,0.5868,111,591,840,1079
128,4.27,15,boneka-dummy,0.7452,507,0,816,134
129,4.31,15,boneka-dummy,0.7452,550,0,864,133
129,4.31,21,boneka-asli,0.5868,212,586,941,1079
129,4.31,26,boneka-asli,0.6708,8,246,167,806
130,4.34,15,boneka-dummy,0.7452,594,0,912,130
130,4.34,26,boneka-asli,0.6708,18,240,181,812
131,4.37,15,boneka-dummy,0.7452,640,0,956,127
131,4.37,26,boneka-asli,0.6708,37,231,202,802
132,4.41,15,boneka-dummy,0.7452,686,1,1000,123
132,4.41,26,boneka-asli,0.6708,60,222,226,780
133,4.44,15,boneka-dummy,0.7452,732,1,1043,118
133,4.44,26,boneka-asli,0.6708,82,213,251,758
134,4.47,26,boneka-asli,0.6708,110,205,286,740
135,4.51,26,boneka-asli,0.6708,146,197,330,725
136,4.54,26,boneka-asli,0.6708,184,189,378,710
137,4.57,26,boneka-asli,0.6708,225,181,430,698
138,4.61,21,boneka-asli,0.5868,504,584,1226,1079
138,4.61,26,boneka-asli,0.6708,265,170,483,686
139,4.64,26,boneka-asli,0.6708,304,160,535,677
139,4.64,30,boneka-asli,0.6326,0,355,527,1038
140,4.67,21,boneka-asli,0.5868,722,610,1401,1079
140,4.67,26,boneka-asli,0.6708,347,153,589,668
140,4.67,30,boneka-asli,0.6326,0,350,540,1052
141,4.71,26,boneka-asli,0.6708,387,148,640,662
141,4.71,30,boneka-asli,0.6326,0,353,556,1065
142,4.74,26,boneka-asli,0.6708,424,145,687,659
142,4.74,30,boneka-asli,0.6326,1,350,570,1062
143,4.77,26,boneka-asli,0.6708,462,144,733,658
144,4.81,21,boneka-asli,0.5868,841,586,1542,1079
144,4.81,26,boneka-asli,0.6708,496,145,775,657
144,4.81,30,boneka-asli,0.6326,27,347,587,1035
145,4.84,26,boneka-asli,0.6708,527,143,814,655
145,4.84,30,boneka-asli,0.6326,39,340,620,1044
146,4.87,26,boneka-asli,0.6708,557,142,851,653
147,4.91,26,boneka-asli,0.6708,585,140,884,651
148,4.94,26,boneka-asli,0.6708,605,137,911,649
149,4.97,21,boneka-asli,0.5868,1055,574,1731,1079
149,4.97,26,boneka-asli,0.6708,622,135,935,648
149,4.97,30,boneka-asli,0.6326,49,301,685,1060
150,5.01,26,boneka-asli,0.6708,643,134,961,647
150,5.01,30,boneka-asli,0.6326,55,286,722,1070
150,5.01,35,boneka-asli,0.5715,669,860,1092,1070
151,5.04,21,boneka-asli,0.5868,1196,587,1825,1079
